Boy_Name,Girl_Name,Boy_Age,Girl_Age,Boy_FavColor,Girl_FavColor,Boy_Hobby,Girl_Hobby,Boy_FavMovieGenre,Girl_FavMovieGenre,Boy_Zodiac,Girl_Zodiac,Compatibility_Score
Joseph,Jessica,29,33,Blue,Red,Sports,Drawing,Drama,Comedy,Pisces,Leo,102
Thomas,Linda,19,34,Orange,Orange,Fishing,Sports,Comedy,Drama,Aquarius,Cancer,90
Mark,Ashley,29,19,Green,Green,Hiking,Dancing,Comedy,Sci-Fi,Scorpio,Aries,90
Paul,Ashley,24,34,Orange,Black,Traveling,Dancing,Adventure,Romance,Sagittarius,Pisces,80
David,Donna,36,35,Orange,Black,Traveling,Hiking,Drama,Drama,Aquarius,Sagittarius,118
John,Jennifer,19,24,Black,Purple,Sports,Dancing,Comedy,Documentary,Sagittarius,Aquarius,90
Andrew,Susan,21,28,Purple,Red,Gaming,Dancing,Adventure,Horror,Sagittarius,Capricorn,96
Daniel,Jessica,36,29,Purple,Black,Drawing,Hiking,Drama,Documentary,Capricorn,Scorpio,96
Mark,Nancy,36,32,Red,White,Reading,Dancing,Thriller,Adventure,Leo,Virgo,102
Andrew,Patricia,39,22,Brown,White,Singing,Hiking,Thriller,Thriller,Aquarius,Taurus,86
Daniel,Ashley,19,29,Pink,Pink,Singing,Hiking,Thriller,Horror,Virgo,Libra,100
William,Donna,18,37,Yellow,Pink,Gaming,Drawing,Horror,Sci-Fi,Taurus,Libra,72
William,Donna,38,30,White,Yellow,Traveling,Singing,Romance,Comedy,Capricorn,Taurus,94
David,Jennifer,26,22,Blue,Blue,Fishing,Hiking,Thriller,Adventure,Libra,Gemini,102
Thomas,Lisa,25,20,Pink,Pink,Cooking,Cooking,Documentary,Comedy,Cancer,Cancer,120
Paul,Patricia,21,18,Blue,Black,Hiking,Reading,Drama,Drama,Virgo,Capricorn,104
Joseph,Jennifer,21,26,Green,Yellow,Fishing,Cooking,Romance,Documentary,Leo,Leo,90
Joseph,Kimberly,23,22,Brown,Blue,Sports,Drawing,Horror,Fantasy,Cancer,Aries,108
Steven,Patricia,25,24,Pink,Pink,Traveling,Sports,Romance,Documentary,Gemini,Scorpio,118
Andrew,Lisa,23,23,Orange,Yellow,Singing,Reading,Thriller,Romance,Aquarius,Aries,110
Richard,Mary,31,39,Black,Pink,Reading,Sports,Thriller,Adventure,Libra,Capricorn,84
Mark,Patricia,29,22,Blue,Orange,Drawing,Singing,Drama,Drama,Capricorn,Aries,96
Joseph,Sandra,31,37,Orange,Black,Dancing,Drawing,Fantasy,Thriller,Capricorn,Gemini,98
Daniel,Sandra,25,29,Yellow,White,Hiking,Hiking,Horror,Horror,Virgo,Cancer,112
Robert,Susan,33,21,Purple,Green,Gaming,Hiking,Romance,Fantasy,Aries,Pisces,76
Daniel,Lisa,20,18,Red,Yellow,Dancing,Dancing,Romance,Drama,Libra,Aries,116
Steven,Mary,21,34,Purple,Orange,Sports,Gaming,Comedy,Drama,Capricorn,Capricorn,84
Michael,Patricia,27,38,Red,Orange,Traveling,Gaming,Documentary,Fantasy,Gemini,Taurus,88
Robert,Donna,21,23,White,Yellow,Cooking,Gaming,Horror,Romance,Virgo,Libra,106
John,Laura,30,28,Brown,Brown,Hiking,Cooking,Fantasy,Comedy,Virgo,Libra,106
Steven,Nancy,24,35,Blue,White,Reading,Drawing,Horror,Fantasy,Leo,Scorpio,78
Robert,Sandra,32,32,Yellow,Pink,Singing,Reading,Fantasy,Adventure,Scorpio,Sagittarius,110
John,Laura,30,31,Blue,Brown,Sports,Sports,Documentary,Documentary,Virgo,Aries,128
Richard,Susan,28,25,Orange,Yellow,Sports,Cooking,Sci-Fi,Drama,Aries,Aries,104
Kevin,Susan,40,30,White,Black,Singing,Drawing,Drama,Comedy,Aquarius,Gemini,80
John,Karen,27,25,Purple,White,Fishing,Fishing,Thriller,Thriller,Virgo,Scorpio,126
Thomas,Jessica,32,39,Purple,Brown,Fishing,Gaming,Comedy,Thriller,Taurus,Libra,96
Andrew,Lisa,31,26,Red,Red,Drawing,Reading,Comedy,Fantasy,Taurus,Gemini,110
William,Patricia,18,25,Black,Red,Singing,Drawing,Horror,Fantasy,Gemini,Pisces,86
Michael,Elizabeth,20,34,Pink,Blue,Traveling,Traveling,Fantasy,Drama,Virgo,Scorpio,92
Joseph,Lisa,34,18,Brown,Green,Reading,Fishing,Comedy,Fantasy,Leo,Virgo,78
Richard,Jennifer,29,19,Purple,Red,Hiking,Sports,Adventure,Documentary,Pisces,Aquarius,80
Kevin,Mary,20,40,Purple,White,Reading,Singing,Thriller,Adventure,Capricorn,Cancer,70
Michael,Karen,30,35,Yellow,Black,Traveling,Singing,Adventure,Romance,Leo,Leo,90
Mark,Jennifer,36,23,Brown,Yellow,Singing,Traveling,Comedy,Documentary,Taurus,Scorpio,74
David,Mary,21,18,Green,Pink,Cooking,Cooking,Romance,Fantasy,Scorpio,Taurus,104
Andrew,Linda,35,39,Purple,Blue,Gaming,Cooking,Drama,Comedy,Taurus,Virgo,92
Paul,Sandra,34,23,Red,Red,Reading,Drawing,Fantasy,Action,Gemini,Sagittarius,88
Thomas,Lisa,18,30,Black,Black,Hiking,Singing,Romance,Comedy,Sagittarius,Gemini,96
James,Sandra,23,34,Black,Purple,Gaming,Singing,Sci-Fi,Action,Leo,Virgo,78
Steven,Susan,31,36,Green,Pink,Drawing,Singing,Romance,Horror,Taurus,Scorpio,90
Joseph,Jennifer,27,24,Black,Pink,Sports,Singing,Action,Romance,Capricorn,Taurus,94
Kevin,Laura,22,18,Blue,Red,Hiking,Sports,Sci-Fi,Thriller,Capricorn,Libra,102
Thomas,Jennifer,26,23,Blue,Black,Gaming,Fishing,Sci-Fi,Thriller,Sagittarius,Taurus,94
Mark,Kimberly,26,27,Black,Yellow,Fishing,Sports,Horror,Adventure,Capricorn,Sagittarius,98
Richard,Kimberly,23,23,Blue,Pink,Fishing,Hiking,Horror,Adventure,Leo,Leo,110
Richard,Laura,20,34,Orange,Black,Traveling,Drawing,Sci-Fi,Horror,Aries,Pisces,72
John,Patricia,22,19,White,Pink,Cooking,Hiking,Fantasy,Fantasy,Scorpio,Scorpio,104
Daniel,Karen,29,40,Black,Yellow,Reading,Singing,Documentary,Drama,Aquarius,Capricorn,88
Daniel,Elizabeth,26,34,Purple,Red,Drawing,Hiking,Thriller,Sci-Fi,Aquarius,Scorpio,84
Kevin,Patricia,27,18,Pink,Yellow,Gaming,Singing,Sci-Fi,Comedy,Aquarius,Taurus,82
Joseph,Kimberly,24,38,Orange,Green,Drawing,Fishing,Sci-Fi,Romance,Virgo,Aquarius,72
Richard,Lisa,25,37,Yellow,Orange,Drawing,Gaming,Adventure,Romance,Virgo,Sagittarius,76
Joseph,Jennifer,36,28,Blue,Green,Traveling,Fishing,Thriller,Horror,Libra,Taurus,84
Kevin,Elizabeth,27,34,Green,Yellow,Sports,Drawing,Romance,Fantasy,Taurus,Capricorn,96
Paul,Nancy,35,32,Orange,Yellow,Cooking,Fishing,Fantasy,Action,Leo,Sagittarius,104
Andrew,Mary,30,22,White,Red,Dancing,Fishing,Romance,Horror,Gemini,Taurus,94
Kevin,Sandra,24,39,Purple,Orange,Sports,Drawing,Romance,Comedy,Aquarius,Scorpio,80
Daniel,Nancy,33,22,Black,Yellow,Gaming,Traveling,Adventure,Adventure,Libra,Scorpio,98
Steven,Kimberly,35,34,Yellow,White,Drawing,Singing,Romance,Comedy,Taurus,Aquarius,108
Thomas,Nancy,31,31,Green,Orange,Reading,Reading,Fantasy,Adventure,Aries,Virgo,120
John,Laura,28,30,Blue,Purple,Cooking,Singing,Thriller,Comedy,Leo,Capricorn,106
William,Elizabeth,19,35,Green,Orange,Gaming,Hiking,Drama,Romance,Leo,Virgo,78
John,Kimberly,37,31,Black,Black,Cooking,Gaming,Romance,Drama,Aries,Capricorn,98
John,Lisa,22,22,Purple,Brown,Singing,Cooking,Horror,Thriller,Scorpio,Taurus,110
Andrew,Patricia,20,24,Green,Green,Gaming,Cooking,Romance,Sci-Fi,Virgo,Virgo,102
Kevin,Nancy,39,25,Brown,Red,Reading,Drawing,Drama,Documentary,Pisces,Aries,72
John,Lisa,30,28,Blue,Purple,Fishing,Sports,Adventure,Drama,Aries,Aquarius,96
Paul,Karen,31,34,Blue,Purple,Fishing,Traveling,Adventure,Thriller,Cancer,Scorpio,94
Michael,Ashley,39,22,Green,Black,Reading,Gaming,Adventure,Sci-Fi,Capricorn,Libra,66
Daniel,Ashley,27,23,Purple,Black,Drawing,Singing,Adventure,Fantasy,Taurus,Pisces,102
Thomas,Ashley,38,20,Brown,Black,Hiking,Drawing,Horror,Fantasy,Aries,Pisces,64
William,Donna,39,27,Brown,Brown,Reading,Traveling,Documentary,Thriller,Scorpio,Leo,86
William,Lisa,28,20,Black,Black,Reading,Hiking,Drama,Romance,Aquarius,Pisces,104
Michael,Jessica,36,26,Black,Purple,Sports,Singing,Documentary,Documentary,Virgo,Cancer,100
Steven,Donna,28,23,Purple,Green,Cooking,Hiking,Comedy,Thriller,Cancer,Capricorn,100
Kevin,Ashley,22,25,Green,Red,Gaming,Sports,Action,Horror,Aquarius,Aquarius,94
Daniel,Karen,39,35,Blue,Blue,Hiking,Traveling,Horror,Drama,Pisces,Leo,102
Steven,Linda,36,34,Brown,Orange,Fishing,Gaming,Adventure,Fantasy,Libra,Taurus,106
Paul,Karen,27,30,White,Pink,Traveling,Sports,Comedy,Fantasy,Capricorn,Leo,94
Daniel,Jessica,39,30,Red,Purple,Traveling,Gaming,Drama,Action,Cancer,Leo,82
James,Jennifer,27,32,Pink,Green,Sports,Gaming,Thriller,Comedy,Scorpio,Leo,90
Kevin,Jessica,20,28,Yellow,Black,Fishing,Traveling,Documentary,Romance,Leo,Libra,84
Thomas,Linda,31,36,Orange,Red,Gaming,Cooking,Romance,Comedy,Libra,Aries,90
Joseph,Karen,32,34,Red,Blue,Drawing,Dancing,Romance,Romance,Capricorn,Leo,106
David,Kimberly,31,25,Orange,Orange,Gaming,Traveling,Drama,Comedy,Pisces,Aquarius,98
Richard,Linda,32,19,Purple,Orange,Cooking,Gaming,Thriller,Action,Gemini,Taurus,84
William,Sandra,35,29,Purple,Pink,Hiking,Hiking,Fantasy,Drama,Libra,Cancer,98
Joseph,Ashley,33,24,White,Red,Cooking,Drawing,Comedy,Documentary,Virgo,Aries,92
Andrew,Nancy,32,28,Pink,Purple,Fishing,Fishing,Romance,Sci-Fi,Gemini,Virgo,112
Paul,Mary,28,38,Blue,Blue,Reading,Reading,Comedy,Fantasy,Leo,Cancer,100
Joseph,Susan,26,18,Brown,Orange,Cooking,Drawing,Documentary,Comedy,Pisces,Capricorn,84
Steven,Laura,40,29,Blue,Pink,Sports,Singing,Action,Horror,Taurus,Taurus,88
Andrew,Linda,35,18,Yellow,Green,Fishing,Reading,Documentary,Documentary,Sagittarius,Scorpio,76
Steven,Susan,27,38,Pink,Brown,Cooking,Sports,Documentary,Adventure,Gemini,Aquarius,78
Steven,Lisa,23,26,White,White,Sports,Gaming,Documentary,Comedy,Gemini,Cancer,114
Joseph,Sandra,19,26,Brown,Brown,Fishing,Singing,Horror,Documentary,Capricorn,Aquarius,106
Paul,Susan,19,32,White,Green,Dancing,Cooking,Comedy,Drama,Gemini,Capricorn,84
Robert,Laura,18,28,Yellow,Red,Gaming,Hiking,Drama,Drama,Pisces,Gemini,90
William,Jessica,37,30,White,Red,Cooking,Singing,Adventure,Drama,Aquarius,Aquarius,86
Paul,Lisa,20,25,Brown,Orange,Fishing,Traveling,Action,Sci-Fi,Aries,Scorpio,100
Thomas,Kimberly,24,29,Blue,Pink,Reading,Drawing,Action,Horror,Capricorn,Scorpio,90
William,Jennifer,38,26,Blue,Red,Dancing,Cooking,Drama,Sci-Fi,Aquarius,Aries,86
Steven,Sandra,30,39,White,White,Gaming,Hiking,Romance,Drama,Virgo,Virgo,92
David,Patricia,36,26,Brown,Black,Singing,Reading,Fantasy,Fantasy,Capricorn,Sagittarius,90
Kevin,Linda,21,19,Green,Blue,Hiking,Cooking,Sci-Fi,Action,Cancer,Leo,106
James,Karen,34,24,Brown,Green,Dancing,Hiking,Drama,Sci-Fi,Leo,Taurus,90
Steven,Elizabeth,38,31,Blue,Brown,Singing,Singing,Horror,Fantasy,Leo,Leo,96
Steven,Elizabeth,20,25,Yellow,Yellow,Drawing,Hiking,Sci-Fi,Horror,Gemini,Capricorn,110
John,Jessica,33,33,Red,Green,Dancing,Fishing,Adventure,Documentary,Aquarius,Scorpio,100
Robert,Sandra,24,33,Purple,Blue,Sports,Singing,Comedy,Fantasy,Leo,Pisces,92
Michael,Donna,19,26,Brown,Pink,Singing,Singing,Horror,Romance,Aquarius,Libra,96
David,Susan,36,26,Purple,White,Reading,Hiking,Documentary,Sci-Fi,Aries,Pisces,90
John,Jessica,31,29,Brown,Blue,Gaming,Sports,Thriller,Fantasy,Sagittarius,Libra,106
John,Karen,28,20,Green,Blue,Drawing,Reading,Horror,Documentary,Aquarius,Virgo,94
James,Ashley,40,36,Orange,Yellow,Singing,Gaming,Romance,Horror,Scorpio,Gemini,92
John,Patricia,33,26,Red,Blue,Dancing,Singing,Horror,Fantasy,Leo,Sagittarius,96
Robert,Laura,33,19,Brown,Orange,Dancing,Cooking,Horror,Adventure,Aquarius,Virgo,82
Daniel,Elizabeth,24,20,Blue,Orange,Singing,Sports,Adventure,Drama,Pisces,Capricorn,92
Andrew,Donna,23,26,Red,Brown,Singing,Cooking,Romance,Comedy,Gemini,Scorpio,94
Andrew,Karen,35,38,Green,Black,Reading,Sports,Thriller,Sci-Fi,Capricorn,Aries,94
Steven,Jessica,33,19,Purple,Red,Reading,Singing,Comedy,Action,Capricorn,Pisces,72
James,Ashley,36,34,Orange,Green,Singing,Drawing,Comedy,Action,Pisces,Gemini,106
Paul,Linda,29,36,Yellow,Brown,Dancing,Fishing,Sci-Fi,Action,Capricorn,Taurus,96
Paul,Kimberly,30,38,Purple,Yellow,Reading,Gaming,Comedy,Horror,Virgo,Taurus,94
Joseph,Karen,39,40,White,Orange,Gaming,Hiking,Romance,Adventure,Leo,Capricorn,98
James,Jessica,20,27,Yellow,Brown,Traveling,Dancing,Horror,Romance,Cancer,Libra,96
Daniel,Nancy,25,21,Yellow,White,Reading,Singing,Documentary,Comedy,Taurus,Sagittarius,92
David,Jessica,24,21,Yellow,Red,Singing,Dancing,Fantasy,Fantasy,Cancer,Cancer,114
Daniel,Jessica,35,27,Brown,Black,Hiking,Dancing,Sci-Fi,Romance,Pisces,Gemini,94
Mark,Elizabeth,35,25,Purple,Black,Drawing,Fishing,Documentary,Comedy,Taurus,Aries,80
Robert,Karen,32,33,Pink,Black,Singing,Cooking,Fantasy,Sci-Fi,Cancer,Cancer,108
Andrew,Sandra,32,34,Yellow,Black,Reading,Singing,Horror,Sci-Fi,Gemini,Cancer,96
Steven,Elizabeth,24,36,Purple,White,Dancing,Cooking,Drama,Documentary,Leo,Libra,76
James,Jennifer,21,23,White,Green,Hiking,Sports,Thriller,Adventure,Pisces,Leo,96
Michael,Patricia,32,19,Blue,White,Hiking,Drawing,Thriller,Adventure,Capricorn,Virgo,84
Daniel,Kimberly,20,38,Green,Black,Hiking,Fishing,Horror,Sci-Fi,Cancer,Aries,74
Joseph,Mary,35,40,Black,Black,Dancing,Drawing,Adventure,Adventure,Pisces,Libra,110
David,Susan,26,20,Purple,Purple,Gaming,Drawing,Action,Drama,Sagittarius,Scorpio,108
David,Linda,31,26,Black,Purple,Drawing,Hiking,Sci-Fi,Sci-Fi,Aries,Sagittarius,100
Paul,Lisa,18,32,Red,Black,Fishing,Singing,Action,Fantasy,Pisces,Pisces,82
Steven,Nancy,39,26,Blue,Brown,Reading,Sports,Drama,Romance,Sagittarius,Taurus,84
Daniel,Elizabeth,32,40,Pink,Yellow,Reading,Drawing,Comedy,Documentary,Gemini,Gemini,84
Joseph,Patricia,36,22,Blue,Red,Traveling,Singing,Horror,Romance,Aries,Capricorn,82
Thomas,Susan,27,27,Black,Green,Gaming,Dancing,Drama,Comedy,Aries,Pisces,110
Paul,Elizabeth,32,28,White,White,Fishing,Gaming,Thriller,Fantasy,Aries,Sagittarius,112
William,Elizabeth,36,26,Black,Orange,Cooking,Reading,Action,Thriller,Libra,Taurus,90
Mark,Jennifer,31,19,Purple,Red,Cooking,Singing,Fantasy,Drama,Virgo,Cancer,86
David,Lisa,21,32,Yellow,Black,Traveling,Reading,Adventure,Drama,Scorpio,Leo,78
Robert,Lisa,29,18,Brown,Orange,Singing,Gaming,Action,Thriller,Virgo,Gemini,78
Kevin,Linda,22,25,Red,Yellow,Hiking,Drawing,Thriller,Documentary,Virgo,Aquarius,104
Michael,Jennifer,36,29,Purple,Orange,Dancing,Reading,Drama,Thriller,Sagittarius,Leo,96
Mark,Jennifer,20,24,Pink,Blue,Singing,Hiking,Documentary,Sci-Fi,Cancer,Gemini,92
Paul,Linda,40,29,Yellow,Yellow,Drawing,Cooking,Action,Adventure,Libra,Scorpio,88
Richard,Linda,36,31,White,White,Traveling,Hiking,Thriller,Romance,Gemini,Virgo,100
William,Kimberly,30,28,Blue,Red,Hiking,Singing,Comedy,Drama,Cancer,Aries,96
Richard,Ashley,38,25,Pink,Orange,Singing,Reading,Fantasy,Adventure,Pisces,Capricorn,74
Paul,Sandra,33,25,Black,Red,Fishing,Drawing,Fantasy,Sci-Fi,Virgo,Pisces,94
Mark,Laura,25,26,Pink,Green,Gaming,Sports,Sci-Fi,Drama,Aquarius,Aries,108
Richard,Susan,34,37,Pink,Purple,Traveling,Reading,Action,Drama,Pisces,Leo,94
Michael,Elizabeth,18,36,Purple,Black,Gaming,Gaming,Thriller,Drama,Leo,Virgo,84
John,Jennifer,26,19,Black,Purple,Drawing,Cooking,Action,Drama,Libra,Aries,96
William,Laura,20,23,Brown,Brown,Dancing,Sports,Romance,Drama,Libra,Pisces,114
James,Patricia,22,40,Orange,Yellow,Hiking,Fishing,Horror,Documentary,Libra,Virgo,64
James,Donna,26,35,Blue,Yellow,Dancing,Hiking,Drama,Fantasy,Gemini,Sagittarius,82
William,Elizabeth,31,32,Black,Black,Hiking,Gaming,Romance,Action,Leo,Capricorn,118
Robert,Lisa,22,28,Black,Red,Fishing,Hiking,Drama,Action,Aquarius,Taurus,88
Daniel,Elizabeth,35,34,Blue,Brown,Reading,Cooking,Romance,Documentary,Cancer,Capricorn,108
Michael,Elizabeth,26,38,Black,Orange,Reading,Singing,Adventure,Comedy,Scorpio,Capricorn,76
Robert,Kimberly,31,25,Purple,Blue,Dancing,Fishing,Fantasy,Romance,Sagittarius,Gemini,98
Daniel,Sandra,23,29,Black,Purple,Gaming,Cooking,Documentary,Romance,Leo,Pisces,98
Thomas,Nancy,28,40,Red,Blue,Drawing,Cooking,Documentary,Comedy,Virgo,Cancer,86
Michael,Susan,22,30,Pink,Brown,Reading,Hiking,Action,Horror,Aquarius,Virgo,94
William,Jessica,33,33,Brown,Green,Dancing,Hiking,Adventure,Thriller,Sagittarius,Capricorn,100
Michael,Elizabeth,30,31,Yellow,Pink,Drawing,Singing,Drama,Action,Taurus,Aries,108
David,Nancy,39,28,White,Orange,Dancing,Sports,Sci-Fi,Horror,Leo,Gemini,78
Daniel,Kimberly,19,31,Black,Orange,Singing,Traveling,Romance,Adventure,Sagittarius,Taurus,76
John,Patricia,40,20,Green,Orange,Singing,Sports,Romance,Fantasy,Sagittarius,Leo,60
Robert,Laura,38,18,Purple,Green,Dancing,Cooking,Thriller,Horror,Scorpio,Virgo,60
Andrew,Ashley,29,28,Brown,Brown,Gaming,Cooking,Documentary,Comedy,Cancer,Taurus,108
Paul,Donna,40,33,White,Green,Drawing,Sports,Documentary,Sci-Fi,Scorpio,Aquarius,96
Michael,Patricia,26,26,Yellow,White,Reading,Singing,Documentary,Documentary,Leo,Aries,110
Joseph,Elizabeth,19,36,Black,Orange,Sports,Hiking,Action,Documentary,Gemini,Capricorn,66
Michael,Lisa,19,18,Red,Green,Reading,Dancing,Comedy,Thriller,Sagittarius,Libra,98
William,Karen,22,31,Black,Red,Reading,Traveling,Horror,Horror,Pisces,Taurus,102
William,Patricia,33,23,Yellow,Yellow,Drawing,Fishing,Romance,Thriller,Aries,Leo,100
David,Karen,27,31,Orange,Green,Traveling,Singing,Sci-Fi,Romance,Gemini,Sagittarius,92
William,Sandra,25,35,Yellow,Blue,Cooking,Dancing,Fantasy,Adventure,Pisces,Libra,90
Joseph,Patricia,25,34,Blue,White,Cooking,Sports,Horror,Horror,Cancer,Libra,102
Paul,Kimberly,24,35,White,Yellow,Dancing,Dancing,Documentary,Thriller,Leo,Libra,88
David,Donna,33,40,Orange,Orange,Drawing,Dancing,Documentary,Thriller,Aquarius,Taurus,96
David,Lisa,25,39,Orange,Brown,Singing,Sports,Romance,Action,Gemini,Aries,82
John,Kimberly,34,20,Black,Blue,Singing,Gaming,Drama,Romance,Aries,Capricorn,72
Mark,Laura,40,37,Red,Purple,Singing,Gaming,Action,Romance,Sagittarius,Libra,94
Mark,Karen,20,20,Blue,Red,Drawing,Drawing,Documentary,Drama,Scorpio,Virgo,120
Andrew,Nancy,40,32,Yellow,White,Reading,Singing,Thriller,Romance,Cancer,Cancer,94
Paul,Sandra,22,24,Red,Yellow,Cooking,Reading,Comedy,Adventure,Virgo,Sagittarius,106
Paul,Patricia,22,37,Purple,Brown,Hiking,Sports,Action,Adventure,Taurus,Taurus,80
Robert,Susan,25,38,Yellow,Pink,Dancing,Traveling,Adventure,Horror,Libra,Scorpio,84
